Plot,Lon,Lat,Stand,Tree_ID,D_CAL,D_FS,D_ARB,H_VER,H_ARB
4,-93.04858739,32.74666953,Open,1,,,,,
4,-93.04858739,32.74666953,Open,2,,,,,
17,-93.04593164,32.74666953,Dense,1,,,,,
17,-93.04593164,32.74666953,Dense,2,,,,,
17,-93.04593164,32.74666953,Dense,3,,,,,
17,-93.04593164,32.74666953,Dense,4,,,,,
17,-93.04593164,32.74666953,Dense,5,,,,,
17,-93.04593164,32.74666953,Dense,6,,,,,
18,-93.04920026,32.74684156,Open,1,,,,,
18,-93.04920026,32.74684156,Open,2,,,,,
31,-93.0465445,32.74684156,Dense,1,,,,,
31,-93.0465445,32.74684156,Dense,2,,,,,
31,-93.0465445,32.74684156,Dense,3,,,,,
31,-93.0465445,32.74684156,Dense,4,,,,,
31,-93.0465445,32.74684156,Dense,5,,,,,
31,-93.0465445,32.74684156,Dense,6,,,,,
31,-93.0465445,32.74684156,Dense,7,,,,,
48,-93.0465445,32.7470136,Dense,1,,,,,
48,-93.0465445,32.7470136,Dense,2,,,,,
48,-93.0465445,32.7470136,Dense,3,,,,,
48,-93.0465445,32.7470136,Dense,4,,,,,
48,-93.0465445,32.7470136,Dense,5,,,,,
48,-93.0465445,32.7470136,Dense,6,,,,,
52,-93.04920026,32.74718564,Open,1,,,,,
52,-93.04920026,32.74718564,Open,2,,,,,
68,-93.04593164,32.74718564,Dense,1,,,,,
68,-93.04593164,32.74718564,Dense,2,,,,,
68,-93.04593164,32.74718564,Dense,3,,,,,
68,-93.04593164,32.74718564,Dense,4,,,,,
68,-93.04593164,32.74718564,Dense,5,,,,,
68,-93.04593164,32.74718564,Dense,6,,,,,
78,-93.04736166,32.74735767,Open,1,,,,,
78,-93.04736166,32.74735767,Open,2,,,,,
86,-93.04920026,32.74752971,Open,1,,,,,
86,-93.04920026,32.74752971,Open,2,,,,,
86,-93.04920026,32.74752971,Open,3,,,,,
90,-93.04838311,32.74752971,Open,1,,,,,
100,-93.04634022,32.74752971,Dense,1,,,,,
100,-93.04634022,32.74752971,Dense,2,,,,,
100,-93.04634022,32.74752971,Dense,3,,,,,
100,-93.04634022,32.74752971,Dense,4,,,,,
100,-93.04634022,32.74752971,Dense,5,,,,,
100,-93.04634022,32.74752971,Dense,6,,,,,
100,-93.04634022,32.74752971,Dense,7,,,,,
103,-93.04920026,32.74770174,Open,1,,,,,
114,-93.04695308,32.74770174,Open,1,,,,,
114,-93.04695308,32.74770174,Open,2,,,,,
119,-93.04593164,32.74770174,Dense,1,,,,,
119,-93.04593164,32.74770174,Dense,2,,,,,
119,-93.04593164,32.74770174,Dense,3,,,,,
119,-93.04593164,32.74770174,Dense,4,,,,,
119,-93.04593164,32.74770174,Dense,5,,,,,
119,-93.04593164,32.74770174,Dense,6,,,,,
119,-93.04593164,32.74770174,Dense,7,,,,,
119,-93.04593164,32.74770174,Dense,8,,,,,
119,-93.04593164,32.74770174,Dense,9,,,,,
119,-93.04593164,32.74770174,Dense,10,,,,,
119,-93.04593164,32.74770174,Dense,11,,,,,
119,-93.04593164,32.74770174,Dense,12,,,,,
121,-93.04899597,32.74787378,Open,1,,,,,
121,-93.04899597,32.74787378,Open,2,,,,,
126,-93.04797453,32.74787378,Open,1,,,,,
126,-93.04797453,32.74787378,Open,2,,,,,
131,-93.04695308,32.74787378,Open,1,,,,,
131,-93.04695308,32.74787378,Open,2,,,,,
131,-93.04695308,32.74787378,Open,3,,,,,
148,-93.04695308,32.74804581,Open,1,,,,,
158,-93.04838311,32.74821784,Open,1,,,,,
158,-93.04838311,32.74821784,Open,2,,,,,
158,-93.04838311,32.74821784,Open,3,,,,,
162,-93.04756595,32.74821784,Open,1,,,,,
162,-93.04756595,32.74821784,Open,2,,,,,
162,-93.04756595,32.74821784,Open,3,,,,,
162,-93.04756595,32.74821784,Open,4,,,,,
168,-93.04634022,32.74821784,Dense,1,,,,,
168,-93.04634022,32.74821784,Dense,2,,,,,
168,-93.04634022,32.74821784,Dense,3,,,,,
168,-93.04634022,32.74821784,Dense,4,,,,,
168,-93.04634022,32.74821784,Dense,5,,,,,
168,-93.04634022,32.74821784,Dense,6,,,,,
172,-93.04899597,32.74838988,Open,1,,,,,
172,-93.04899597,32.74838988,Open,2,,,,,
172,-93.04899597,32.74838988,Open,3,,,,,
173,-93.04879168,32.74838988,Open,1,,,,,
173,-93.04879168,32.74838988,Open,2,,,,,
