ID,Data,Fam,Loc,Year,Mean_GLD,Mean_HT,Mean_DBH,Mean_CHT
WDT_AGH2_Tech_Initial,WDT,AGH2,Tech,Initial,4.770277778,0.451111111,NA,NA
WDT_AGH2_Tech_First,WDT,AGH2,Tech,First,10.456,0.6965,NA,NA
WDT_AGH2_Tech_Second,WDT,AGH2,Tech,Second,36.11964286,1.618214286,NA,NA
WDT_AGH2_Tech_Third,WDT,AGH2,Tech,Third,NA,2.699657143,1.8415,NA
WDT_AGH2_Tech_Fourth,WDT,AGH2,Tech,Fourth,NA,4.387283036,5.245892857,NA
WDT_AGH2_Tech_Fifth,WDT,AGH2,Tech,Fifth,NA,6.048148148,8.137407407,1.224642825
WDT_AGH2_Tech_Sixth,WDT,AGH2,Tech,Sixth,NA,7.249885714,10.033,1.821428571
WDT_AGH2_Tech_Seventh,WDT,AGH2,Tech,Seventh,NA,8.432074286,11.70214286,2.854016571
WDT_AGH2_HF_Initial,WDT,AGH2,HF,Initial,5.44,0.424285714,NA,NA
WDT_AGH2_HF_First,WDT,AGH2,HF,First,12.56566667,0.695433333,NA,NA
WDT_AGH2_HF_Second,WDT,AGH2,HF,Second,33.38851852,1.561111111,NA,NA
WDT_AGH2_HF_Third,WDT,AGH2,HF,Third,NA,2.318004,1.5816072,NA
WDT_AGH2_HF_Fourth,WDT,AGH2,HF,Fourth,NA,3.280664,3.56092,NA
WDT_AGH2_HF_Fifth,WDT,AGH2,HF,Fifth,NA,4.973515385,6.183923077,0.462280016
WDT_AGH2_HF_Sixth,WDT,AGH2,HF,Sixth,NA,5.407152,8.8392,0.966184
WDT_AGH2_HF_Seventh,WDT,AGH2,HF,Seventh,NA,8.332978,10.245,1.7532096
WDT_AGH25_Tech_Initial,WDT,AGH25,Tech,Initial,4.856388889,0.404305556,NA,NA
WDT_AGH25_Tech_First,WDT,AGH25,Tech,First,10.70575758,0.674727273,NA,NA
WDT_AGH25_Tech_Second,WDT,AGH25,Tech,Second,42.08242424,1.760606061,NA,NA
WDT_AGH25_Tech_Third,WDT,AGH25,Tech,Third,NA,2.859424242,1.924242424,NA
WDT_AGH25_Tech_Fourth,WDT,AGH25,Tech,Fourth,NA,4.790074394,5.639090909,NA
WDT_AGH25_Tech_Fifth,WDT,AGH25,Tech,Fifth,NA,6.606060606,8.497454545,1.032933367
WDT_AGH25_Tech_Sixth,WDT,AGH25,Tech,Sixth,NA,7.878618182,10.36012121,2.403987879
WDT_AGH25_Tech_Seventh,WDT,AGH25,Tech,Seventh,NA,8.558414545,11.76866667,2.98196
WDT_AGH25_HF_Initial,WDT,AGH25,HF,Initial,5.12,0.417222222,NA,NA
WDT_AGH25_HF_First,WDT,AGH25,HF,First,13.36612903,0.716129032,NA,NA
WDT_AGH25_HF_Second,WDT,AGH25,HF,Second,33.399375,1.5821875,NA,NA
WDT_AGH25_HF_Third,WDT,AGH25,HF,Third,NA,2.37546931,1.565778621,NA
WDT_AGH25_HF_Fourth,WDT,AGH25,HF,Fourth,NA,3.4925,3.7402,NA
