,ID,Loc,Block,Border,Row,Tree,Fam,SUR,GLD,HT,DBH,CHT
Initial,20212,HF,1,0,2,12,AGH2,0,3.77,0.39,.,
Initial,20213,HF,1,0,2,13,AGH2,0,5.57,0.43,.,
Initial,20214,HF,1,0,2,14,AGH2,0,4.63,0.38,.,
Initial,20312,HF,1,0,3,12,AGH2,0,7.45,0.53,.,
Initial,20313,HF,1,0,3,13,AGH2,0,5.61,0.52,.,
Initial,20314,HF,1,0,3,14,AGH2,0,6.79,0.46,.,
Initial,20412,HF,1,0,4,12,AGH2,1,.,.,.,
Initial,20413,HF,1,0,4,13,AGH2,0,5.46,0.33,.,
Initial,20414,HF,1,0,4,14,AGH2,0,7.04,0.39,.,
Initial,20707,HF,2,0,7,7,AGH2,0,6.38,0.38,.,
Initial,20708,HF,2,0,7,8,AGH2,0,5.25,0.43,.,
Initial,20709,HF,2,0,7,9,AGH2,0,5.4,0.36,.,
Initial,20807,HF,2,0,8,7,AGH2,0,4.75,0.45,.,
Initial,20808,HF,2,0,8,8,AGH2,0,2.58,0.35,.,
Initial,20809,HF,2,0,8,9,AGH2,0,2.42,0.31,.,
Initial,20907,HF,2,0,9,7,AGH2,0,6.82,0.56,.,
Initial,20908,HF,2,0,9,8,AGH2,0,5.78,0.37,.,
Initial,20909,HF,2,0,9,9,AGH2,0,5.82,0.43,.,
Initial,21217,HF,3,0,12,17,AGH2,0,3.75,0.39,.,
Initial,21218,HF,3,0,12,18,AGH2,0,5.41,0.38,.,
Initial,21219,HF,3,0,12,19,AGH2,0,4.77,0.37,.,
Initial,21317,HF,3,0,13,17,AGH2,0,7.14,0.55,.,
Initial,21318,HF,3,0,13,18,AGH2,0,5.56,0.38,.,
Initial,21319,HF,3,0,13,19,AGH2,0,4.17,0.45,.,
Initial,21417,HF,3,0,14,17,AGH2,0,4.44,0.4,.,
Initial,21418,HF,3,0,14,18,AGH2,0,4.11,0.31,.,
Initial,21419,HF,3,0,14,19,AGH2,0,6.93,0.47,.,
Initial,21722,HF,4,0,17,22,AGH2,0,8.26,0.53,.,
Initial,21723,HF,4,0,17,23,AGH2,0,6.11,0.42,.,
Initial,21724,HF,4,0,17,24,AGH2,0,7.12,0.42,.,
Initial,21822,HF,4,0,18,22,AGH2,0,4.64,0.36,.,
