Plot,ALMY,APIN,BRAR,BRBR5,BRHO2,BRRA2,BRSE,BRST2,BRTE,TACA,VEDU,VUBR,VUMY
bacher_creek_1_ctrl_one_yr,0,0,4.8,0,0,0,0,0,13,4.2,4.2,0,0
bacher_creek_2_ctrl_one_yr,0,0,0,0,0,0,0,0,17,0,0,0,0
bacher_creek_3_ctrl_one_yr,0,0,0,0,0,0,0,0,22.8,3.8,0,0,11.4
Berry_1_ctrl_one_yr,0,0,10,0,0,0,0,0,1,0,15,0,0
Berry_2_ctrl_one_yr,0,0,10,0,0,0,0,0,0,0,20,0,0
Berry_3_ctrl_one_yr,0,0,6,0,0,0,0,0,0,0,30,0,0
Berry_4_ctrl_one_yr,0,0,6,0,0,0,0,0,0,0,20,0,0
big_flat_1_ctrl_one_yr,0,0,1.2,0,0,0,0,0,0,53,18.8,0,0
big_flat_2_ctrl_one_yr,0,0,21.4,0,0,0,0,0,0,58,13.6,0,0
big_flat_3_ctrl_one_yr,0,0,10,0,0,0,0,0,1.8,56,22.6,0,0
Bison_range_1_ctrl_one_yr,0,0,0.64,0,0,0,0,0,0.21,0,31.64,0,0
Bison_range_2_ctrl_one_yr,0,0.07,0.79,0,0,0,0,0,0.14,0,33.71,0,0
Bison_range_3_ctrl_one_yr,0,0.29,1.29,0,0,0,0,0,0.21,0,35,0,0
Bison_Range_CEST_ctrl_one_yr_1,0,0.02,0.755,0,0.015,0,0,0,0.12,0,0,0,0
Bison_Range_CEST_ctrl_one_yr_2,0,0.19,0.61,0,0,0,0,0,0.125,0,0,0,0
Bison_Range_CEST_ctrl_one_yr_3,0,0.01,0.1,0,0,0,0,0,0.05,0,0,0,0
Bison_Range_PORE_ctrl_one_yr_1,0,0.21,0.22,0,0,0,0,0,0.475,0,0.005,0,0
Bison_Range_PORE_ctrl_one_yr_2,0,0,2.555,0,0,0,0,0,2.515,0,0,0,0
Bison_Range_PORE_ctrl_one_yr_3,0,0,0.61,0,0,0,0,0,0.375,0,0,0,0
Bottom_1_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,0,0,0
Breaks_1_ctrl_one_yr,0,0.07,6.14,0,0,0,0,0,0.21,0,0,0,0
Breaks_2_ctrl_one_yr,0,0.07,10.71,0,0,0,0,0,0,0,0,0,0
Breaks_3_ctrl_one_yr,0,0,7,0,0,0,0,0,0,0,0,0,0
Bunker_6_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,0,0,0
Canyon_Grassland_CCS1_PSSP1_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,52.75,0,0
Canyon_Grassland_CCS1_PSSP2_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,35.75,0,0
Canyon_Grassland_CCS1_PSSP3_ctrl_one_yr,0,0,0.5,0,0,0,0,0,0,0,38,0,1
Canyon_Grassland_CCS2_FEID1_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,4,0,0
Canyon_Grassland_CCS2_FEID2_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,1,0,0
Canyon_Grassland_CCS2_FEID3_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,22.5,0,0
Canyon_Grassland_CCS3_SHRUB1_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,16.5,0,0
