Site,Lat,Lon,ppt_Jan,ppt_Feb,ppt_Mar,ppt_Apr,ppt_May,ppt_Jun,ppt_Jul,ppt_Aug,ppt_Sep,ppt_Oct,ppt_Nov,ppt_Dec,ppt_Annual,tmin_Jan,tmin_Feb,tmin_Mar,tmin_Apr,tmin_May,tmin_Jun,tmin_Jul,tmin_Aug,tmin_Sep,tmin_Oct,tmin_Nov,tmin_Dec,tmin_Annual,tmean_Jan,tmean_Feb,tmean_Mar,tmean_Apr,tmean_May,tmean_Jun,tmean_Jul,tmean_Aug,tmean_Sep,tmean_Oct,tmean_Nov,tmean_Dec,tmean_Annual,tmax_Jan,tmax_Feb,tmax_Mar,tmax_Apr,tmax_May,tmax_Jun,tmax_Jul,tmax_Aug,tmax_Sep,tmax_Oct,tmax_Nov,tmax_Dec,tmax_Annual
bacher_creek,44.836,-117.424,53.63,40.02,42.7,49.56,60.86,42.13,12.66,13.02,18.25,36.78,50.5,61.69,481.8,-6.1,-4.5,-1.7,0.6,4.5,7.8,10.8,9.9,5.6,0.8,-3,-6,1.6,-1.8,0.7,4.6,8,12.6,16.4,21.2,20.7,15.8,9.1,2.6,-1.7,9,2.4,5.9,11,15.4,20.6,25,31.6,31.4,25.9,17.3,8.2,2.6,16.4
bacher_creek,44.836,-117.424,53.63,40.02,42.7,49.56,60.86,42.13,12.66,13.02,18.25,36.78,50.5,61.69,481.8,-6.1,-4.5,-1.7,0.6,4.5,7.8,10.8,9.9,5.6,0.8,-3,-6,1.6,-1.8,0.7,4.6,8,12.6,16.4,21.2,20.7,15.8,9.1,2.6,-1.7,9,2.4,5.9,11,15.4,20.6,25,31.6,31.4,25.9,17.3,8.2,2.6,16.4
bacher_creek,44.836,-117.424,53.63,40.02,42.7,49.56,60.86,42.13,12.66,13.02,18.25,36.78,50.5,61.69,481.8,-6.1,-4.5,-1.7,0.6,4.5,7.8,10.8,9.9,5.6,0.8,-3,-6,1.6,-1.8,0.7,4.6,8,12.6,16.4,21.2,20.7,15.8,9.1,2.6,-1.7,9,2.4,5.9,11,15.4,20.6,25,31.6,31.4,25.9,17.3,8.2,2.6,16.4
Berry,44.825272,-107.175057,19.68,22.27,33.12,54.69,88.15,55.34,30.96,22.75,38.86,46.83,24.76,18.88,456.27,-10.9,-10,-5.3,-1,4.1,8.9,12.4,11.1,6.2,-0.1,-6.2,-10.4,-0.1,-4.3,-3.4,1.8,6,11.1,16.4,21.1,20.1,14.7,7.4,0.8,-3.9,7.3,2.3,3.2,8.9,13,18,24,29.7,29.2,23.2,14.9,7.8,2.7,14.8
Berry,44.825272,-107.175057,19.68,22.27,33.12,54.69,88.15,55.34,30.96,22.75,38.86,46.83,24.76,18.88,456.27,-10.9,-10,-5.3,-1,4.1,8.9,12.4,11.1,6.2,-0.1,-6.2,-10.4,-0.1,-4.3,-3.4,1.8,6,11.1,16.4,21.1,20.1,14.7,7.4,0.8,-3.9,7.3,2.3,3.2,8.9,13,18,24,29.7,29.2,23.2,14.9,7.8,2.7,14.8
Berry,44.825272,-107.175057,19.68,22.27,33.12,54.69,88.15,55.34,30.96,22.75,38.86,46.83,24.76,18.88,456.27,-10.9,-10,-5.3,-1,4.1,8.9,12.4,11.1,6.2,-0.1,-6.2,-10.4,-0.1,-4.3,-3.4,1.8,6,11.1,16.4,21.1,20.1,14.7,7.4,0.8,-3.9,7.3,2.3,3.2,8.9,13,18,24,29.7,29.2,23.2,14.9,7.8,2.7,14.8
Berry,44.825272,-107.175057,19.68,22.27,33.12,54.69,88.15,55.34,30.96,22.75,38.86,46.83,24.76,18.88,456.27,-10.9,-10,-5.3,-1,4.1,8.9,12.4,11.1,6.2,-0.1,-6.2,-10.4,-0.1,-4.3,-3.4,1.8,6,11.1,16.4,21.1,20.1,14.7,7.4,0.8,-3.9,7.3,2.3,3.2,8.9,13,18,24,29.7,29.2,23.2,14.9,7.8,2.7,14.8
big_flat,44.047,-116.483,61.59,44.8,57.04,46.68,50.68,28.86,9.11,7.04,14.37,32.27,47.68,72.34,472.46,-5.8,-4.3,-1.5,0.8,4.9,8.3,12.6,12.2,8,2.3,-2.4,-5.8,2.5,-1.4,1.2,5,8.1,12.9,17,22.3,21.8,16.8,9.8,3.2,-1.3,9.6,3,6.7,11.4,15.5,20.8,25.6,32,31.4,25.7,17.3,8.7,3.1,16.8
big_flat,44.047,-116.483,61.59,44.8,57.04,46.68,50.68,28.86,9.11,7.04,14.37,32.27,47.68,72.34,472.46,-5.8,-4.3,-1.5,0.8,4.9,8.3,12.6,12.2,8,2.3,-2.4,-5.8,2.5,-1.4,1.2,5,8.1,12.9,17,22.3,21.8,16.8,9.8,3.2,-1.3,9.6,3,6.7,11.4,15.5,20.8,25.6,32,31.4,25.7,17.3,8.7,3.1,16.8
big_flat,44.047,-116.483,61.59,44.8,57.04,46.68,50.68,28.86,9.11,7.04,14.37,32.27,47.68,72.34,472.46,-5.8,-4.3,-1.5,0.8,4.9,8.3,12.6,12.2,8,2.3,-2.4,-5.8,2.5,-1.4,1.2,5,8.1,12.9,17,22.3,21.8,16.8,9.8,3.2,-1.3,9.6,3,6.7,11.4,15.5,20.8,25.6,32,31.4,25.7,17.3,8.7,3.1,16.8
