Year,Site,Type,Year_Type,NPST_LIST2,NPST_RHCO,NPFV_TORA2,NPST_ASPA18,IPFV_CEAS,NPFV_CEER2,NPFV_ASOB,NPST_ILOP,NPST_ILVO,NPST_BAHA,NAFV_COCA5,NPFV_ECSA,NPFV_EUCA5,NPFV_EULE,NPFV_EUCO7,NPFV_EUPE3,NPFV_EURO4,NPFV_EUSE2,NPFV_EULE4,NPFV_GAEE,NAFV_GAPU3,NPFV_HEAN2,IAFV_Lactuca.spp,NPFV_HYAR3,NPFV_LIAC,NPFV_PIGR4,NAFV_PYCA2,NPFV_RUGR,NPFV_RUHI2,NPFV_SIGR4,NPFV_SOAL6,NPFV_SORU2,NPFV_SYDU2,NPFV_CARA2,NAFV_LOAP,NPFV_LOPU,NPFV_LETE,NPG_CYEC2,IPG_CYES,NPG_FUBR,NPG_RHCA9,NPG_RHGR,NPG_RHIN4,NPG_RHRE8,NPG_RHPL3,NPFV_PTAQ,NPST_VAAR,NPST_VAEL,NPFV_EUCO10,NPFV_CEVI2,NAFV_CRSA4,NPFV_LECA8,NPFV_MIST2,NPFV_RHTO3,NPFV_SEHE8,NPFV_TEON,NPST_QUNI,NPST_QUMA3,NPST_TOPU2,NPFV_GESE,IAFV_CEPU3,NAFV_Sabatia.spp,NPFV_PRPE,NPST_HYFA,NPST_HYGA,NPST_HYHY,NPST_HYST3,NPFV_SIAN3,NPG_JUBR,NPG_JUPO5,NPFV_MOPU,NPFV_PHDI7,NPFV_PYTE,NPFV_SCIN2,NPFV_ALAU,NPFV_LIMET,IPFV_LYJA,NPMoss_Lycopodiella,NPST_MAVI2,NPFV_RHAL4,NPFV_RHLU,NPFV_RHMA,NPST_MOCE2,NPST_NYSY,NPFV_LUPI,NAFV_AGFI,NPFV_Oxalis.spp,NPTV_SMRO,NPG_SCSC,NPG_DIAC,NPG_DISC2,NAG_PAVE2,NPG_PAPL3,NPG_SEPA10,NAFV_POCR,NAFV_POMA8,NPST_PRSE2,NPST_Rubus.spp,NAFV_DIVI3,NAFV_DITE2,NPFV_MEAC,NPST_SMGL,NPST_SYTI,NAFV_POPR4,NPST_CAAM2,NPFV_PHLA3,NPFV_VIRO3,NPFV_XYLO2,NPFV_XYAM,NPFV_CHMA14,NPFV_STUM2,NPFV_PAQU2,NPFV_EURE8,NPFV_PLRO,NAFV_POSA3,NPFV_RUHU,NAFV_Bidens.spp,NPST_ACRU,NPST_HYPU,NAFV_CIHO2,NPFV_VIPR4,NPFV_BICA,ANFV_EVCA,NPG_DISC3,NPFV_SIAN3,NPFV_COCO13,ANFV_TRPE4,ANFV_ERHI12
2014,R10,E13,2014_E13,0,0,0,1,0,0,0,0,0,9,31,0,7,0,1,1,11,0,0,0,33,38,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,6,23,1,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,R11,E13,2014_E13,1,2,9,0,0,0,0,0,2,0,24,0,11,7,3,4,0,0,0,0,21,40,0,0,0,7,1,0,0,0,3,8,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,6,0,1,0,0,0,1,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,1,0,4,0,34,12,33,1,1,0,0,0,0,9,1,0,1,24,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2014,R6,E13,2014_E13,0,0,5,0,1,0,0,0,3,0,11,0,24,11,5,0,4,8,1,0,5,37,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,3,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,1,0,0,0,37,3,17,5,0,1,0,0,0,36,10,0,0,31,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,R8,E13,2014_E13,0,1,1,1,3,3,0,0,0,0,21,0,10,0,0,0,4,1,0,0,13,33,0,0,0,10,2,0,0,0,8,0,0,0,0,1,0,2,1,0,0,0,0,2,0,0,0,0,0,5,0,5,2,0,0,4,0,0,0,2,0,0,0,0,2,4,3,4,0,0,0,0,0,9,0,0,0,0,0,0,3,1,0,0,0,0,0,0,25,10,26,0,2,0,0,0,0,25,4,1,0,22,0,13,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,R9,E13,2014_E13,0,1,1,0,1,0,0,0,8,0,38,0,26,0,0,4,6,0,2,0,16,40,0,0,0,0,0,0,0,0,27,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,6,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,22,10,30,0,1,0,0,0,0,13,0,0,1,23,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,S08_1,S08,2014_S08,1,1,8,0,0,0,0,0,12,0,0,0,0,6,0,0,15,1,0,0,0,15,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,3,0,2,0,7,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,13,0,0,0,0,0,0,33,9,8,5,0,0,0,0,0,14,7,0,0,22,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,S08_17,S08,2014_S08,1,1,2,1,2,0,0,2,6,0,0,0,0,2,0,0,5,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,7,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,40,3,15,0,0,0,0,0,0,24,4,0,0,16,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,S08_3,S08,2014_S08,6,0,1,0,4,0,0,1,1,0,0,0,4,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,10,2,0,0,0,0,0,40,5,15,1,0,0,0,0,0,24,13,0,0,35,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,S08_32,S08,2014_S08,1,0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,11,0,2,0,0,0,0,0,0,0,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,1,3,0,1,0,2,0,0,0,39,1,20,1,0,0,0,0,0,12,18,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,S08_36,S08,2014_S08,1,0,1,0,1,1,0,0,2,0,0,1,0,0,0,0,7,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,21,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,6,9,0,0,0,0,0,0,37,14,10,2,0,0,0,0,0,20,6,0,0,35,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
