Year,Site,Type,Year_Type,Richness,H',DBH,Height,Openness,N,P,K,C,Ca,Cu,Mg,Na,S,Zn,pH,PCC_sum,PCC_av,PCC_w
2014,R10,E13,2014_E13,12,2.22,3.27,3.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699,9.197368421,3.46039604
2014,R11,E13,2014_E13,19,2.7,4.17,4.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,797,10.48684211,3.706976744
2014,R6,E13,2014_E13,19,2.65,4.01,4.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708,9.315789474,3.470588235
2014,R8,E13,2014_E13,18,2.7,4.12,4.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,866,11.39473684,4.203883495
2014,R9,E13,2014_E13,14,2.5,4.94,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626,8.236842105,2.898148148
2014,S08_1,S08,2014_S08,15,2.47,10.09,6.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,826,10.86842105,5.619047619
2014,S08_17,S08,2014_S08,10,2.12,7.9,5.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604,7.947368421,5.698113208
2014,S08_3,S08,2014_S08,12,2.21,8.38,5.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570,7.5,4.56
2014,S08_32,S08,2014_S08,11,2.1,8.41,5.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,631,8.302631579,5.302521008
2014,S08_36,S08,2014_S08,14,2.24,8.57,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615,8.092105263,5.347826087
2014,S13_6,S13,2014_S13,18,2.78,2.97,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1054,13.86842105,4.971698113
2014,S13_17,S13,2014_S13,28,3.01,2.84,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1654,21.76315789,4.864705882
2014,S13_2,S13,2014_S13,21,2.9,2.87,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1392,18.31578947,4.953736655
2014,S13_26,S13,2014_S13,18,2.58,2.25,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1285,16.90789474,6.03286385
2014,S13_9,S13,2014_S13,16,2.55,2.87,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,993,13.06578947,4.774038462
2015,R10,E13,2015_E13,15,2.4,3.75,4.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,915,12.03947368,5.512048193
2015,R11,E13,2015_E13,21,2.78,4.76,4.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,748,9.842105263,4.065217391
2015,R6,E13,2015_E13,19,2.62,5.64,6.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,739,9.723684211,4.271676301
2015,R8,E13,2015_E13,18,2.62,5.57,5.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,713,9.381578947,4.244047619
2015,R9,E13,2015_E13,17,2.6,5.76,6.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,672,8.842105263,3.929824561
2015,S08_1,S08,2015_S08,13,2.34,10.83,7.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652,8.578947368,5.133858268
2015,S08_17,S08,2015_S08,13,2.33,8.71,7.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,5.460526316,5.533333333
2015,S08_3,S08,2015_S08,11,2.15,8.65,6.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,5.723684211,5.95890411
