Plot,Type,Year,Site,Group,Incidence
E13-R10-35,E13,2014,R10,Colonizing,26
E13-R10-35,E13,2014,R10,Fairly.high,10
E13-R10-35,E13,2014,R10,High,13
E13-R10-35,E13,2014,R10,Very.high,2
E13-R10-35,E13,2014,R10,Invasive,0
E13-R10-35,E13,2014,R10,No_data,14
E13-R10-36,E13,2014,R10,Colonizing,13
E13-R10-36,E13,2014,R10,Fairly.high,10
E13-R10-36,E13,2014,R10,High,10
E13-R10-36,E13,2014,R10,Very.high,1
E13-R10-36,E13,2014,R10,Invasive,0
E13-R10-36,E13,2014,R10,No_data,12
E13-R10-7,E13,2014,R10,Colonizing,28
E13-R10-7,E13,2014,R10,Fairly.high,12
E13-R10-7,E13,2014,R10,High,10
E13-R10-7,E13,2014,R10,Very.high,1
E13-R10-7,E13,2014,R10,Invasive,0
E13-R10-7,E13,2014,R10,No_data,7
E13-R10-8,E13,2014,R10,Colonizing,29
E13-R10-8,E13,2014,R10,Fairly.high,15
E13-R10-8,E13,2014,R10,High,18
E13-R10-8,E13,2014,R10,Very.high,3
E13-R10-8,E13,2014,R10,Invasive,1
E13-R10-8,E13,2014,R10,No_data,7
E13-R11-10,E13,2014,R11,Colonizing,21
E13-R11-10,E13,2014,R11,Fairly.high,14
E13-R11-10,E13,2014,R11,High,13
E13-R11-10,E13,2014,R11,Very.high,1
E13-R11-10,E13,2014,R11,Invasive,0
E13-R11-10,E13,2014,R11,No_data,26
E13-R11-33,E13,2014,R11,Colonizing,30
E13-R11-33,E13,2014,R11,Fairly.high,24
E13-R11-33,E13,2014,R11,High,12
E13-R11-33,E13,2014,R11,Very.high,0
E13-R11-33,E13,2014,R11,Invasive,1
E13-R11-33,E13,2014,R11,No_data,10
E13-R11-34,E13,2014,R11,Colonizing,25
E13-R11-34,E13,2014,R11,Fairly.high,18
E13-R11-34,E13,2014,R11,High,10
E13-R11-34,E13,2014,R11,Very.high,2
E13-R11-34,E13,2014,R11,Invasive,3
E13-R11-34,E13,2014,R11,No_data,26
E13-R11-9,E13,2014,R11,Colonizing,21
E13-R11-9,E13,2014,R11,Fairly.high,17
E13-R11-9,E13,2014,R11,High,7
E13-R11-9,E13,2014,R11,Very.high,5
E13-R11-9,E13,2014,R11,Invasive,0
E13-R11-9,E13,2014,R11,No_data,20
E13-R6-1,E13,2014,R6,Colonizing,31
E13-R6-1,E13,2014,R6,Fairly.high,15
E13-R6-1,E13,2014,R6,High,13
E13-R6-1,E13,2014,R6,Very.high,0
E13-R6-1,E13,2014,R6,Invasive,6
E13-R6-1,E13,2014,R6,No_data,22
E13-R6-2,E13,2014,R6,Colonizing,37
E13-R6-2,E13,2014,R6,Fairly.high,15
E13-R6-2,E13,2014,R6,High,10
E13-R6-2,E13,2014,R6,Very.high,0
E13-R6-2,E13,2014,R6,Invasive,6
E13-R6-2,E13,2014,R6,No_data,21
E13-R6-45,E13,2014,R6,Colonizing,25
E13-R6-45,E13,2014,R6,Fairly.high,13
E13-R6-45,E13,2014,R6,High,18
E13-R6-45,E13,2014,R6,Very.high,0
E13-R6-45,E13,2014,R6,Invasive,2
E13-R6-45,E13,2014,R6,No_data,13
E13-R6-46,E13,2014,R6,Colonizing,23
E13-R6-46,E13,2014,R6,Fairly.high,13
E13-R6-46,E13,2014,R6,High,13
E13-R6-46,E13,2014,R6,Very.high,0
E13-R6-46,E13,2014,R6,Invasive,0
E13-R6-46,E13,2014,R6,No_data,22
E13-R8-3,E13,2014,R8,Colonizing,41
E13-R8-3,E13,2014,R8,Fairly.high,22
E13-R8-3,E13,2014,R8,High,14
E13-R8-3,E13,2014,R8,Very.high,2
E13-R8-3,E13,2014,R8,Invasive,0
E13-R8-3,E13,2014,R8,No_data,22
E13-R8-31,E13,2014,R8,Colonizing,35
E13-R8-31,E13,2014,R8,Fairly.high,12
E13-R8-31,E13,2014,R8,High,7
E13-R8-31,E13,2014,R8,Very.high,5
E13-R8-31,E13,2014,R8,Invasive,0
E13-R8-31,E13,2014,R8,No_data,20
E13-R8-32,E13,2014,R8,Colonizing,25
E13-R8-32,E13,2014,R8,Fairly.high,20
E13-R8-32,E13,2014,R8,High,8
E13-R8-32,E13,2014,R8,Very.high,10
E13-R8-32,E13,2014,R8,Invasive,0
E13-R8-32,E13,2014,R8,No_data,13
E13-R8-4,E13,2014,R8,Colonizing,10
E13-R8-4,E13,2014,R8,Fairly.high,8
E13-R8-4,E13,2014,R8,High,7
E13-R8-4,E13,2014,R8,Very.high,6
E13-R8-4,E13,2014,R8,Invasive,0
E13-R8-4,E13,2014,R8,No_data,9
E13-R9-43,E13,2014,R9,Colonizing,37
E13-R9-43,E13,2014,R9,Fairly.high,13
