Year,FG,Total,E13,S13,S08,E13_S13_S08,E13_S13,E13_S08,S13_S08,E13_U,S13_U,S08_U
2014,PF,45,32,33,24,17,23,20,18,8,7,3
2014,AF,11,8,9,2,2,6,2,2,2,3,0
2014,VI,6,6,5,6,5,5,5,6,0,0,0
2014,GR,15,10,14,7,6,9,7,6,1,4,0
2014,SHTR,19,16,12,13,8,11,8,11,2,1,2
2015,PF,49,36,39,22,16,26,19,19,7,10,0
2015,AF,12,7,9,3,2,5,2,2,2,4,1
2015,VI,7,7,5,5,4,5,5,4,1,0,0
2015,GR,16,9,15,9,6,9,6,8,0,4,1
2015,SHTR,20,16,14,16,11,13,13,11,1,1,3
2016,PF,39,22,28,14,7,12,8,11,8,12,1
2016,AF,11,9,7,4,3,5,4,3,4,2,0
2016,VI,6,5,4,5,3,4,4,3,0,0,1
2016,GR,10,5,9,5,4,4,4,5,1,4,0
2016,SHTR,19,9,14,10,4,5,7,7,1,6,1
