"","Plot","Type","Site","Year","Group","Incidence"
"1","E13-R10-35","E13","E13-R10","2014","SHTR",4
"2","E13-R10-35","E13","E13-R10","2014","VI",5
"3","E13-R10-35","E13","E13-R10","2014","PF",20
"4","E13-R10-35","E13","E13-R10","2014","AF",19
"5","E13-R10-35","E13","E13-R10","2014","GR",17
"6","E13-R10-35","E13","E13-R10","2014","LEG",0
"7","E13-R10-36","E13","E13-R10","2014","SHTR",1
"8","E13-R10-36","E13","E13-R10","2014","VI",5
"9","E13-R10-36","E13","E13-R10","2014","PF",11
"10","E13-R10-36","E13","E13-R10","2014","AF",9
"11","E13-R10-36","E13","E13-R10","2014","GR",20
"12","E13-R10-36","E13","E13-R10","2014","LEG",0
"13","E13-R10-7","E13","E13-R10","2014","SHTR",5
"14","E13-R10-7","E13","E13-R10","2014","VI",1
"15","E13-R10-7","E13","E13-R10","2014","PF",18
"16","E13-R10-7","E13","E13-R10","2014","AF",19
"17","E13-R10-7","E13","E13-R10","2014","GR",15
"18","E13-R10-7","E13","E13-R10","2014","LEG",2
"19","E13-R10-8","E13","E13-R10","2014","SHTR",4
"20","E13-R10-8","E13","E13-R10","2014","VI",0
"21","E13-R10-8","E13","E13-R10","2014","PF",34
"22","E13-R10-8","E13","E13-R10","2014","AF",17
"23","E13-R10-8","E13","E13-R10","2014","GR",18
"24","E13-R10-8","E13","E13-R10","2014","LEG",3
"25","E13-R11-10","E13","E13-R11","2014","SHTR",3
"26","E13-R11-10","E13","E13-R11","2014","VI",12
"27","E13-R11-10","E13","E13-R11","2014","PF",29
"28","E13-R11-10","E13","E13-R11","2014","AF",14
"29","E13-R11-10","E13","E13-R11","2014","GR",17
"30","E13-R11-10","E13","E13-R11","2014","LEG",2
"31","E13-R11-33","E13","E13-R11","2014","SHTR",9
"32","E13-R11-33","E13","E13-R11","2014","VI",12
"33","E13-R11-33","E13","E13-R11","2014","PF",21
"34","E13-R11-33","E13","E13-R11","2014","AF",15
"35","E13-R11-33","E13","E13-R11","2014","GR",20
"36","E13-R11-33","E13","E13-R11","2014","LEG",4
"37","E13-R11-34","E13","E13-R11","2014","SHTR",6
"38","E13-R11-34","E13","E13-R11","2014","VI",10
"39","E13-R11-34","E13","E13-R11","2014","PF",27
"40","E13-R11-34","E13","E13-R11","2014","AF",16
"41","E13-R11-34","E13","E13-R11","2014","GR",25
"42","E13-R11-34","E13","E13-R11","2014","LEG",1
"43","E13-R11-9","E13","E13-R11","2014","SHTR",5
"44","E13-R11-9","E13","E13-R11","2014","VI",11
"45","E13-R11-9","E13","E13-R11","2014","PF",22
"46","E13-R11-9","E13","E13-R11","2014","AF",13
"47","E13-R11-9","E13","E13-R11","2014","GR",19
"48","E13-R11-9","E13","E13-R11","2014","LEG",1
"49","E13-R6-1","E13","E13-R6","2014","SHTR",9
"50","E13-R6-1","E13","E13-R6","2014","VI",14
"51","E13-R6-1","E13","E13-R6","2014","PF",41
"52","E13-R6-1","E13","E13-R6","2014","AF",5
"53","E13-R6-1","E13","E13-R6","2014","GR",18
"54","E13-R6-1","E13","E13-R6","2014","LEG",0
"55","E13-R6-2","E13","E13-R6","2014","SHTR",16
"56","E13-R6-2","E13","E13-R6","2014","VI",12
"57","E13-R6-2","E13","E13-R6","2014","PF",40
"58","E13-R6-2","E13","E13-R6","2014","AF",7
"59","E13-R6-2","E13","E13-R6","2014","GR",14
