Year,Plot,DBH,Height,Gap,Biomass,Richness,H',C_0-50,C_51-100,C_101-150,C_151-200,CC
2014,E13-R10-35,3.31,3.58,NA,NA,10,2.24,NA,NA,NA,NA,3.254901961
2014,E13-R10-36,2.41,3.25,NA,NA,10,2.06,NA,NA,NA,NA,4.029411765
2014,E13-R10-7,3.57,3.93,NA,NA,12,2.17,NA,NA,NA,NA,2.960784314
2014,E13-R10-8,3.57,3.92,NA,NA,16,2.39,NA,NA,NA,NA,3.712121212
2014,E13-R11-10,4.33,4.97,NA,NA,18,2.75,NA,NA,NA,NA,3.816326531
2014,E13-R11-33,3.82,4.51,NA,NA,20,2.72,NA,NA,NA,NA,3.641791045
2014,E13-R11-34,3.9,4.75,NA,NA,18,2.69,NA,NA,NA,NA,3.379310345
2014,E13-R11-9,4.58,5.23,NA,NA,18,2.63,NA,NA,NA,NA,3.94
2014,E13-R6-1,3.96,4.51,NA,NA,20,2.69,NA,NA,NA,NA,3.153846154
2014,E13-R6-2,5.33,6.09,NA,NA,21,2.77,NA,NA,NA,NA,2.573529412
2014,E13-R6-45,2.84,3.36,NA,NA,18,2.59,NA,NA,NA,NA,4.068965517
2014,E13-R6-46,3.99,4.26,NA,NA,17,2.55,NA,NA,NA,NA,4.081632653
2014,E13-R8-3,3,3.76,NA,NA,27,3.09,NA,NA,NA,NA,3.734177215
2014,E13-R8-31,4.23,4.82,NA,NA,16,2.67,NA,NA,NA,NA,3.491525424
2014,E13-R8-32,4.98,5.53,NA,NA,18,2.76,NA,NA,NA,NA,4.46031746
2014,E13-R8-4,4.32,4.32,NA,NA,12,2.26,NA,NA,NA,NA,4.967741935
2014,E13-R9-43,4.87,5.76,NA,NA,13,2.46,NA,NA,NA,NA,2.482142857
2014,E13-R9-44,4.61,5.31,NA,NA,12,2.45,NA,NA,NA,NA,3.035087719
2014,E13-R9-5,5.37,6.19,NA,NA,17,2.59,NA,NA,NA,NA,3.238095238
2014,E13-R9-6,4.86,5.82,NA,NA,14,2.48,NA,NA,NA,NA,2.811320755
2014,S08-1-21,11.17,7.12,NA,NA,14,2.44,NA,NA,NA,NA,5.172413793
2014,S08-1-22,11.01,7.3,NA,NA,15,2.49,NA,NA,NA,NA,5.618181818
2014,S08-1-57,9.56,6.1,NA,NA,16,2.49,NA,NA,NA,NA,5.189189189
2014,S08-1-58,8.11,5.28,NA,NA,16,2.47,NA,NA,NA,NA,5.425
2014,S08-17-25,6.78,5.81,NA,NA,10,1.96,NA,NA,NA,NA,4.5
2014,S08-17-26,8.4,5.84,NA,NA,8,2.21,NA,NA,NA,NA,5.475
2014,S08-17-59,9.52,6.85,NA,NA,11,1.91,NA,NA,NA,NA,5.965517241
2014,S08-17-60,7.87,5.69,NA,NA,12,2.41,NA,NA,NA,NA,4.806451613
2014,S08-3-23,8.35,5.4,NA,NA,11,2.25,NA,NA,NA,NA,4.128205128
2014,S08-3-24,7.91,5.88,NA,NA,11,2.33,NA,NA,NA,NA,4.170731707
2014,S08-3-53,8.71,6.13,NA,NA,12,2.25,NA,NA,NA,NA,5.15625
2014,S08-3-54,8.78,6.12,NA,NA,13,2.02,NA,NA,NA,NA,3.918918919
2014,S08-32-61,8.21,6.17,NA,NA,10,2.08,NA,NA,NA,NA,5.617021277
2014,S08-32-62,8.81,5.48,NA,NA,8,2.04,NA,NA,NA,NA,4.777777778
2014,S08-32-63,8.77,6.2,NA,NA,13,2.22,NA,NA,NA,NA,5.24137931
2014,S08-32-64,8.02,5.54,NA,NA,11,2.05,NA,NA,NA,NA,4.357142857
2014,S08-36-25,7.56,5.68,NA,NA,15,2.33,NA,NA,NA,NA,4.777777778
2014,S08-36-26,8.81,6.47,NA,NA,18,2.53,NA,NA,NA,NA,4.272727273
2014,S08-36-59,8.92,6.49,NA,NA,14,2.22,NA,NA,NA,NA,5.972222222
2014,S08-36-60,9.62,6.51,NA,NA,9,1.89,NA,NA,NA,NA,4.833333333
2014,S13-17-17,2.21,0.07,NA,NA,28,2.98,NA,NA,NA,NA,4.975903614
2014,S13-17-18,2.96,0.12,NA,NA,37,3.31,NA,NA,NA,NA,5
2014,S13-17-49,3.1,0.11,NA,NA,25,2.98,NA,NA,NA,NA,3.902439024
2014,S13-17-50,3.13,0.12,NA,NA,21,2.78,NA,NA,NA,NA,5.184210526
2014,S13-2-65,2.75,0.12,NA,NA,22,2.96,NA,NA,NA,NA,4.728395062
2014,S13-2-66,2.92,0.13,NA,NA,19,2.79,NA,NA,NA,NA,4.716666667
2014,S13-2-67,2.34,0.11,NA,NA,22,3,NA,NA,NA,NA,4.987341772
2014,S13-2-68,3.25,0.12,NA,NA,20,2.83,NA,NA,NA,NA,4.957746479
2014,S13-26-19,1.53,0.07,NA,NA,18,2.62,NA,NA,NA,NA,6.06
2014,S13-26-20,2.78,0.1,NA,NA,19,2.69,NA,NA,NA,NA,5.827586207
2014,S13-26-37,2.21,0.07,NA,NA,18,2.41,NA,NA,NA,NA,5.963636364
2014,S13-26-38,2.34,0.08,NA,NA,17,2.61,NA,NA,NA,NA,5.912280702
2014,S13-6-11,3.17,0.1,NA,NA,19,2.82,NA,NA,NA,NA,4.593220339
2014,S13-6-12,3,0.09,NA,NA,16,2.6,NA,NA,NA,NA,5.086206897
2014,S13-6-41,2.27,0.07,NA,NA,15,2.78,NA,NA,NA,NA,5.512820513
2014,S13-6-42,3.06,0.09,NA,NA,21,2.9,NA,NA,NA,NA,4.355263158
2014,S13-9-13,2.79,0.1,NA,NA,18,2.59,NA,NA,NA,NA,5.094339623
2014,S13-9-14,2.95,0.12,NA,NA,19,2.74,NA,NA,NA,NA,4.786885246
2014,S13-9-39,2.67,0.1,NA,NA,15,2.45,NA,NA,NA,NA,4.4
2014,S13-9-40,2.98,0.12,NA,NA,12,2.42,NA,NA,NA,NA,4.68627451
