Plot,iaf_cov,ipf_cov,iag_cov,ipg_cov,ips_cov,naf_cov,npf_cov,nag_cov,npg_cov,nps_cov,gen_cov
bacher_creek_1_ctrl_one_yr,0.6,10.6,26.2,0,0,1.2,0,0,0.6,0,3.8
bacher_creek_2_ctrl_one_yr,8.8,4.4,17,0,0,1.8,0.6,0,0,0,7.6
bacher_creek_3_ctrl_one_yr,4.8,0,38,0,0,8.8,0,0,0,0,11.4
Berry_1_ctrl_one_yr,5,2,26,0,0,0,20,0,30,0,3
Berry_2_ctrl_one_yr,1,6,30,5,0,0,16,0,11,5,12
Berry_3_ctrl_one_yr,2,0,36,1,0,0,11,0,21,5,2
Berry_4_ctrl_one_yr,2,2,26,1,0,0,17,0,27,5,6
big_flat_1_ctrl_one_yr,0,0,73,3,0,0,0,0,0,0,0
big_flat_2_ctrl_one_yr,0,0,93,1.2,0,0,0,0,0,0,0
big_flat_3_ctrl_one_yr,0,0,90.4,0,0,0.6,0,0,0,0,0
Bison_range_1_ctrl_one_yr,0.72,6.22,32.49,0.86,0,0.71,7.07,0,17.51,0,0.07
Bison_range_2_ctrl_one_yr,0.5,4.72,34.71,2.93,0,0.35,5.5,0,14.34,0,0
Bison_range_3_ctrl_one_yr,0.56,6.78,36.79,17.35,0,0.14,1.57,0,12.28,0,0.14
Bison_Range_CEST_ctrl_one_yr_1,0,3.58,0.91,0,0,0,5.055,0,2.94,0,0.255
Bison_Range_CEST_ctrl_one_yr_2,0.01,5.72,0.925,0,0,0,0.56,0,4.105,0,0.45
Bison_Range_CEST_ctrl_one_yr_3,0,0.79,0.16,0.005,0,0,0.05,0,2.1,0,0.015
Bison_Range_PORE_ctrl_one_yr_1,0.005,1.825,0.91,0.01,0,0,0.305,0,13.505,0,1.755
Bison_Range_PORE_ctrl_one_yr_2,1.36,0.565,5.07,0.005,0,0,3.885,0,14.31,0,0.465
Bison_Range_PORE_ctrl_one_yr_3,0.415,0.405,0.985,0.01,0,0,0.03,0,6.375,0,0.14
Bottom_1_ctrl_one_yr,0.5,16,0,0,0,0.5,37.5,0,11,0,0
Breaks_1_ctrl_one_yr,0.71,0.07,6.42,2.86,0,0.5,2.14,0,23.15,6.43,1.5
Breaks_2_ctrl_one_yr,0.42,0.29,10.78,0.71,0,0.72,0.5,0,28.78,4.43,0.14
Breaks_3_ctrl_one_yr,1.86,0.14,7,5.28,0,0.5,4.43,0,4.64,1.57,3.14
Bunker_6_ctrl_one_yr,0,38,0,0,0,0,1,0,7,0,0
Canyon_Grassland_CCS1_PSSP1_ctrl_one_yr,7.25,2.25,52.75,0,0,0,3.75,0,13,0,0
Canyon_Grassland_CCS1_PSSP2_ctrl_one_yr,1.75,3.75,35.75,0,0,0,8.25,0,9.75,0,0
Canyon_Grassland_CCS1_PSSP3_ctrl_one_yr,7.25,0.5,39.5,0,0,0,3.75,0,15.25,0,0
Canyon_Grassland_CCS2_FEID1_ctrl_one_yr,0,0,4,9.5,0,0,0,0,47.5,0,0
Canyon_Grassland_CCS2_FEID2_ctrl_one_yr,0,0,1,11.5,0,0,0,0,36.75,0,0
Canyon_Grassland_CCS2_FEID3_ctrl_one_yr,3.75,1.75,22.5,3.25,0,0,0,0,42.5,0,0
Canyon_Grassland_CCS3_SHRUB1_ctrl_one_yr,0,3.75,16.5,0,0,0,10.75,0,22.75,36.25,0
Canyon_Grassland_CCS3_SHRUB2_ctrl_one_yr,0.5,8,8,0,0,0.5,36.25,0,4.75,25.5,0
Canyon_Grassland_CCS3_SHRUB3_ctrl_one_yr,1,0.5,3.25,0,0,0,15.75,0,9,59,0
Canyon_Grassland_CG1_PSSP1_ctrl_one_yr,9.25,0,14.25,0,0,10.25,0,0,10.75,0,0
Canyon_Grassland_CG1_PSSP2_ctrl_one_yr,8.75,1,18.75,2.25,0,3.75,1.75,0,6.75,0,0
Canyon_Grassland_CG1_PSSP3_ctrl_one_yr,11.75,0,32.75,11,0,13,0,0,5.25,0,0
Canyon_Grassland_CG2_FEID1_ctrl_one_yr,18.75,11.25,29.25,17,0,1.5,0,0,0,0,0
Canyon_Grassland_CG2_FEID2_ctrl_one_yr,40.75,0,20.75,20.25,0,6.5,0,0,0,0,0
Canyon_Grassland_CG2_FEID3_ctrl_one_yr,16,4.25,41.75,26.25,0,0.5,0,0,1.75,0,0
Canyon_Grassland_CG3_SHRUB1_ctrl_one_yr,0.5,0,18.5,0,0,0,0,0,0.5,55.75,0
Canyon_Grassland_CG3_SHRUB2_ctrl_one_yr,1.5,0,19,0,0,0.5,0,0,0.5,35,0
Canyon_Grassland_CG3_SHRUB3_ctrl_one_yr,2.25,0,8,0,0,5,7.5,0,0,45.5,0
Canyon_Grassland_TC1_PSSP1_ctrl_one_yr,4.5,1.75,43.5,0.5,0,2,6,0,8,0,0
Canyon_Grassland_TC1_PSSP2_ctrl_one_yr,5,0,19.25,0,0,0.5,2.5,0,20.75,0,0
Canyon_Grassland_TC1_PSSP3_ctrl_one_yr,2.75,4.25,33.25,0,0,4.5,17,0,11.5,0,0
Canyon_Grassland_TC2_SHRUB1_ctrl_one_yr,28,18.5,0.5,7.25,0,0,37.5,0,18.25,26.25,1.75
Canyon_Grassland_TC2_SHRUB2_ctrl_one_yr,0.5,16.25,18.25,2.75,0,1.75,49.75,0,10.75,11.25,0
Canyon_Grassland_TC2_SHRUB3_ctrl_one_yr,8.25,6.75,5.25,0,0,1,61.5,0,23.25,16.75,0.5
Canyon_Grassland_TC3_FEID1_ctrl_one_yr,0.5,0,39.5,0,0,2,16.25,0,14.75,0,0
Canyon_Grassland_TC3_FEID2_ctrl_one_yr,2.25,0,6,0,0,0,44.75,0,20,0,0
Canyon_Grassland_TC3_FEID3_ctrl_one_yr,2,0,17.75,0,0,1.5,22.5,0,18.5,0,0
Canyon_Grassland_TM1_PSSP1_ctrl_one_yr,42,10.25,20.25,1,0,7.25,22.25,0,11.75,0,0
Canyon_Grassland_TM1_PSSP2_ctrl_one_yr,50.75,9.5,56.5,1.5,0,6.5,24.5,0,7.5,0,0
Canyon_Grassland_TM1_PSSP3_ctrl_one_yr,20.25,0,20.75,20.25,0,2.5,9.25,0,5.25,0,0
Canyon_Grassland_TM2_SHRUB1_ctrl_one_yr,41.5,25.25,1.75,0,0,11.75,0,33.75,7.75,4.5,1.75
Canyon_Grassland_TM2_SHRUB2_ctrl_one_yr,31.75,7,29.75,12.5,0,4.5,2,4.25,4.25,27.75,0
Canyon_Grassland_TM2_SHRUB3_ctrl_one_yr,15.5,19.25,5,0,0,6.25,18.25,1,5.25,49.75,0
Canyon_Grassland_TM3_FEID1_ctrl_one_yr,0.5,0.5,21.5,0,0,1.75,25.25,0,19.5,0,0
Canyon_Grassland_TM3_FEID2_ctrl_one_yr,5.5,0,12.5,0,0,0,21.75,0,15,0.5,0
Canyon_Grassland_TM3_FEID3_ctrl_one_yr,0,0,10,0,0,1,22.25,0,30,0,0
Canyon_Grassland_WWR1_FEID1_ctrl_one_yr,1.75,3.5,26.25,1.75,0,1.5,14,0,37,0,0
Canyon_Grassland_WWR1_FEID2_ctrl_one_yr,0,0.5,21.5,0,0,2,30.75,0,28,1.5,1.75
Canyon_Grassland_WWR1_FEID3_ctrl_one_yr,4.5,0,25.75,0,0,1,1.5,0,21.75,3.75,0
Canyon_Grassland_WWR2_PSSP1_ctrl_one_yr,12.5,0,71,1.75,0,19,1,0,4.75,0,0
Canyon_Grassland_WWR2_PSSP2_ctrl_one_yr,3.5,0,53,6,0,5.25,0.5,0,20.25,0.5,0
Canyon_Grassland_WWR2_PSSP3_ctrl_one_yr,6,0,75.5,0,0,13,0,0,10.25,0,0
Canyon_Grassland_WWR3_SHRUB1_ctrl_one_yr,52.25,4,11.75,0,0,9,6.75,0,6,35.25,0
Canyon_Grassland_WWR3_SHRUB2_ctrl_one_yr,17.25,7,9.75,1.75,0,1,3.25,0,47,20.75,0
Canyon_Grassland_WWR3_SHRUB3_ctrl_one_yr,24.25,1.5,9.75,15,0,5.5,8.75,0,0,50.75,0
catcreek_101_ctrl_one_yr,5,20,32.5,0,0,0,0,0,37.5,0,0
catcreek_101_ctrl_one_yr,7.5,17.5,15,0,0,0,0,0,2.5,0,0
catcreek_213_ctrl_one_yr,2.5,0,5,0,0,0,7.5,0,15,15,0
catcreek_213_ctrl_one_yr,2.5,0,30,2.5,0,0,5,0,15,0,0
