"","Year","Location","Family","Block","Crown","GLB"
"1","Fifth","LA Tech","AGH2",1,1.6,"AGH2_LA Tech_1"
"2","Fifth","LA Tech","AGH2",2,0.89,"AGH2_LA Tech_2"
"3","Fifth","LA Tech","AGH2",3,1.87,"AGH2_LA Tech_3"
"4","Fifth","LA Tech","AGH2",4,0.51,"AGH2_LA Tech_4"
"5","Fifth","LA Tech","AGH25",1,1.19,"AGH25_LA Tech_1"
"6","Fifth","LA Tech","AGH25",2,1.31,"AGH25_LA Tech_2"
"7","Fifth","LA Tech","AGH25",3,0.7,"AGH25_LA Tech_3"
"8","Fifth","LA Tech","AGH25",4,0.91,"AGH25_LA Tech_4"
"9","Fifth","LA Tech","AGHS1",1,0.68,"AGHS1_LA Tech_1"
"10","Fifth","LA Tech","AGHS1",2,1.9,"AGHS1_LA Tech_2"
"11","Fifth","LA Tech","AGHS1",3,3.14,"AGHS1_LA Tech_3"
"12","Fifth","LA Tech","AGHS1",4,2.34,"AGHS1_LA Tech_4"
"13","Fifth","LA Tech","AGHS2",1,1.43,"AGHS2_LA Tech_1"
"14","Fifth","LA Tech","AGHS2",2,3.21,"AGHS2_LA Tech_2"
"15","Fifth","LA Tech","AGHS2",3,3.16,"AGHS2_LA Tech_3"
"16","Fifth","LA Tech","AGHS2",4,2.89,"AGHS2_LA Tech_4"
"17","Fifth","LA Tech","AGHS3",1,1,"AGHS3_LA Tech_1"
"18","Fifth","LA Tech","AGHS3",2,1.11,"AGHS3_LA Tech_2"
"19","Fifth","LA Tech","AGHS3",3,2.78,"AGHS3_LA Tech_3"
"20","Fifth","LA Tech","AGHS3",4,2.67,"AGHS3_LA Tech_4"
"21","Fifth","LA Tech","AGHS4",1,1.55,"AGHS4_LA Tech_1"
"22","Fifth","LA Tech","AGHS4",2,3.12,"AGHS4_LA Tech_2"
"23","Fifth","LA Tech","AGHS4",3,1.11,"AGHS4_LA Tech_3"
"24","Fifth","LA Tech","AGHS4",4,0.69,"AGHS4_LA Tech_4"
"25","Fifth","Hill Farm","AGH2",1,0.32,"AGH2_Hill Farm_1"
"26","Fifth","Hill Farm","AGH2",2,0.54,"AGH2_Hill Farm_2"
"27","Fifth","Hill Farm","AGH2",3,0.39,"AGH2_Hill Farm_3"
"28","Fifth","Hill Farm","AGH2",4,0.54,"AGH2_Hill Farm_4"
"29","Fifth","Hill Farm","AGH25",1,0.62,"AGH25_Hill Farm_1"
"30","Fifth","Hill Farm","AGH25",2,0.53,"AGH25_Hill Farm_2"
"31","Fifth","Hill Farm","AGH25",3,0.41,"AGH25_Hill Farm_3"
"32","Fifth","Hill Farm","AGH25",4,0.49,"AGH25_Hill Farm_4"
"33","Fifth","Hill Farm","AGHS1",1,0.66,"AGHS1_Hill Farm_1"
"34","Fifth","Hill Farm","AGHS1",2,1.16,"AGHS1_Hill Farm_2"
"35","Fifth","Hill Farm","AGHS1",3,1.08,"AGHS1_Hill Farm_3"
"36","Fifth","Hill Farm","AGHS1",4,0.41,"AGHS1_Hill Farm_4"
"37","Fifth","Hill Farm","AGHS2",1,0.49,"AGHS2_Hill Farm_1"
"38","Fifth","Hill Farm","AGHS2",2,0.86,"AGHS2_Hill Farm_2"
"39","Fifth","Hill Farm","AGHS2",3,1.01,"AGHS2_Hill Farm_3"
"40","Fifth","Hill Farm","AGHS2",4,1.23,"AGHS2_Hill Farm_4"
"41","Fifth","Hill Farm","AGHS3",1,0.41,"AGHS3_Hill Farm_1"
"42","Fifth","Hill Farm","AGHS3",2,0.42,"AGHS3_Hill Farm_2"
"43","Fifth","Hill Farm","AGHS3",3,0.91,"AGHS3_Hill Farm_3"
"44","Fifth","Hill Farm","AGHS3",4,0.45,"AGHS3_Hill Farm_4"
