"","Year","Location","Family","Block","DBH","GLB"
"1","Third","LA Tech","AGH2",1,1.48,"AGH2_LA Tech_1"
"2","Third","LA Tech","AGH2",2,0.86,"AGH2_LA Tech_2"
"3","Third","LA Tech","AGH2",3,2.85,"AGH2_LA Tech_3"
"4","Third","LA Tech","AGH2",4,1.58,"AGH2_LA Tech_4"
"5","Third","LA Tech","AGH25",1,1.45,"AGH25_LA Tech_1"
"6","Third","LA Tech","AGH25",2,1.37,"AGH25_LA Tech_2"
"7","Third","LA Tech","AGH25",3,2.03,"AGH25_LA Tech_3"
"8","Third","LA Tech","AGH25",4,2.68,"AGH25_LA Tech_4"
"9","Third","LA Tech","AGHS1",1,2.77,"AGHS1_LA Tech_1"
"10","Third","LA Tech","AGHS1",2,3.81,"AGHS1_LA Tech_2"
"11","Third","LA Tech","AGHS1",3,3.98,"AGHS1_LA Tech_3"
"12","Third","LA Tech","AGHS1",4,3.58,"AGHS1_LA Tech_4"
"13","Third","LA Tech","AGHS2",1,2.91,"AGHS2_LA Tech_1"
"14","Third","LA Tech","AGHS2",2,3.84,"AGHS2_LA Tech_2"
"15","Third","LA Tech","AGHS2",3,4.97,"AGHS2_LA Tech_3"
"16","Third","LA Tech","AGHS2",4,4.12,"AGHS2_LA Tech_4"
"17","Third","LA Tech","AGHS3",1,2.31,"AGHS3_LA Tech_1"
"18","Third","LA Tech","AGHS3",2,2.25,"AGHS3_LA Tech_2"
"19","Third","LA Tech","AGHS3",3,3.11,"AGHS3_LA Tech_3"
"20","Third","LA Tech","AGHS3",4,2.83,"AGHS3_LA Tech_4"
"21","Third","LA Tech","AGHS4",1,3.5,"AGHS4_LA Tech_1"
"22","Third","LA Tech","AGHS4",2,3.39,"AGHS4_LA Tech_2"
"23","Third","LA Tech","AGHS4",3,4.09,"AGHS4_LA Tech_3"
"24","Third","LA Tech","AGHS4",4,4.43,"AGHS4_LA Tech_4"
"25","Third","Hill Farm","AGH2",1,1.51,"AGH2_Hill Farm_1"
"26","Third","Hill Farm","AGH2",2,1.29,"AGH2_Hill Farm_2"
"27","Third","Hill Farm","AGH2",3,1.52,"AGH2_Hill Farm_3"
"28","Third","Hill Farm","AGH2",4,1.88,"AGH2_Hill Farm_4"
"29","Third","Hill Farm","AGH25",1,1.5,"AGH25_Hill Farm_1"
"30","Third","Hill Farm","AGH25",2,1.58,"AGH25_Hill Farm_2"
"31","Third","Hill Farm","AGH25",3,1.41,"AGH25_Hill Farm_3"
"32","Third","Hill Farm","AGH25",4,1.72,"AGH25_Hill Farm_4"
"33","Third","Hill Farm","AGHS1",1,2.84,"AGHS1_Hill Farm_1"
