"","Year","Location","Family","Block","GLD","GLB"
"1","Initial","LA Tech","AGH2",1,5,"AGH2_LA Tech_1"
"2","Initial","LA Tech","AGH2",2,4.85,"AGH2_LA Tech_2"
"3","Initial","LA Tech","AGH2",3,3.85,"AGH2_LA Tech_3"
"4","Initial","LA Tech","AGH2",4,5.38,"AGH2_LA Tech_4"
"5","Initial","LA Tech","AGH25",1,5.17,"AGH25_LA Tech_1"
"6","Initial","LA Tech","AGH25",2,4.6,"AGH25_LA Tech_2"
"7","Initial","LA Tech","AGH25",3,3.55,"AGH25_LA Tech_3"
"8","Initial","LA Tech","AGH25",4,6.11,"AGH25_LA Tech_4"
"9","Initial","LA Tech","AGHS1",1,5.48,"AGHS1_LA Tech_1"
"10","Initial","LA Tech","AGHS1",2,3.74,"AGHS1_LA Tech_2"
"11","Initial","LA Tech","AGHS1",3,3.98,"AGHS1_LA Tech_3"
"12","Initial","LA Tech","AGHS1",4,5.03,"AGHS1_LA Tech_4"
"13","Initial","LA Tech","AGHS2",1,4.34,"AGHS2_LA Tech_1"
"14","Initial","LA Tech","AGHS2",2,4.31,"AGHS2_LA Tech_2"
"15","Initial","LA Tech","AGHS2",3,4.15,"AGHS2_LA Tech_3"
"16","Initial","LA Tech","AGHS2",4,5.31,"AGHS2_LA Tech_4"
"17","Initial","LA Tech","AGHS3",1,4.69,"AGHS3_LA Tech_1"
"18","Initial","LA Tech","AGHS3",2,4.61,"AGHS3_LA Tech_2"
"19","Initial","LA Tech","AGHS3",3,3.85,"AGHS3_LA Tech_3"
"20","Initial","LA Tech","AGHS3",4,6.3,"AGHS3_LA Tech_4"
"21","Initial","LA Tech","AGHS4",1,5.32,"AGHS4_LA Tech_1"
"22","Initial","LA Tech","AGHS4",2,4.74,"AGHS4_LA Tech_2"
"23","Initial","LA Tech","AGHS4",3,3.81,"AGHS4_LA Tech_3"
"24","Initial","LA Tech","AGHS4",4,5.36,"AGHS4_LA Tech_4"
"25","Initial","Hill Farm","AGH2",1,5.79,"AGH2_Hill Farm_1"
"26","Initial","Hill Farm","AGH2",2,5.02,"AGH2_Hill Farm_2"
"27","Initial","Hill Farm","AGH2",3,5.14,"AGH2_Hill Farm_3"
