"","Year","Location","Family","Block","Height","GLB"
"1","Initial","LA Tech","AGH2",1,0.46,"AGH2_LA Tech_1"
"2","Initial","LA Tech","AGH2",2,0.48,"AGH2_LA Tech_2"
"3","Initial","LA Tech","AGH2",3,0.49,"AGH2_LA Tech_3"
"4","Initial","LA Tech","AGH2",4,0.38,"AGH2_LA Tech_4"
"5","Initial","LA Tech","AGH25",1,0.46,"AGH25_LA Tech_1"
"6","Initial","LA Tech","AGH25",2,0.42,"AGH25_LA Tech_2"
"7","Initial","LA Tech","AGH25",3,0.38,"AGH25_LA Tech_3"
"8","Initial","LA Tech","AGH25",4,0.36,"AGH25_LA Tech_4"
"9","Initial","LA Tech","AGHS1",1,0.54,"AGHS1_LA Tech_1"
"10","Initial","LA Tech","AGHS1",2,0.49,"AGHS1_LA Tech_2"
"11","Initial","LA Tech","AGHS1",3,0.49,"AGHS1_LA Tech_3"
"12","Initial","LA Tech","AGHS1",4,0.51,"AGHS1_LA Tech_4"
"13","Initial","LA Tech","AGHS2",1,0.44,"AGHS2_LA Tech_1"
"14","Initial","LA Tech","AGHS2",2,0.45,"AGHS2_LA Tech_2"
"15","Initial","LA Tech","AGHS2",3,0.45,"AGHS2_LA Tech_3"
"16","Initial","LA Tech","AGHS2",4,0.46,"AGHS2_LA Tech_4"
"17","Initial","LA Tech","AGHS3",1,0.54,"AGHS3_LA Tech_1"
"18","Initial","LA Tech","AGHS3",2,0.51,"AGHS3_LA Tech_2"
"19","Initial","LA Tech","AGHS3",3,0.46,"AGHS3_LA Tech_3"
"20","Initial","LA Tech","AGHS3",4,0.54,"AGHS3_LA Tech_4"
"21","Initial","LA Tech","AGHS4",1,0.57,"AGHS4_LA Tech_1"
"22","Initial","LA Tech","AGHS4",2,0.56,"AGHS4_LA Tech_2"
"23","Initial","LA Tech","AGHS4",3,0.51,"AGHS4_LA Tech_3"
"24","Initial","LA Tech","AGHS4",4,0.56,"AGHS4_LA Tech_4"
"25","Initial","Hill Farm","AGH2",1,0.43,"AGH2_Hill Farm_1"
"26","Initial","Hill Farm","AGH2",2,0.4,"AGH2_Hill Farm_2"
"27","Initial","Hill Farm","AGH2",3,0.41,"AGH2_Hill Farm_3"
"28","Initial","Hill Farm","AGH2",4,0.45,"AGH2_Hill Farm_4"
"29","Initial","Hill Farm","AGH25",1,0.37,"AGH25_Hill Farm_1"
"30","Initial","Hill Farm","AGH25",2,0.41,"AGH25_Hill Farm_2"
"31","Initial","Hill Farm","AGH25",3,0.4,"AGH25_Hill Farm_3"
"32","Initial","Hill Farm","AGH25",4,0.49,"AGH25_Hill Farm_4"
"33","Initial","Hill Farm","AGHS1",1,0.56,"AGHS1_Hill Farm_1"
"34","Initial","Hill Farm","AGHS1",2,0.54,"AGHS1_Hill Farm_2"
"35","Initial","Hill Farm","AGHS1",3,0.59,"AGHS1_Hill Farm_3"
"36","Initial","Hill Farm","AGHS1",4,0.58,"AGHS1_Hill Farm_4"
"37","Initial","Hill Farm","AGHS2",1,0.47,"AGHS2_Hill Farm_1"
"38","Initial","Hill Farm","AGHS2",2,0.47,"AGHS2_Hill Farm_2"
"39","Initial","Hill Farm","AGHS2",3,0.44,"AGHS2_Hill Farm_3"
"40","Initial","Hill Farm","AGHS2",4,0.49,"AGHS2_Hill Farm_4"
"41","Initial","Hill Farm","AGHS3",1,0.52,"AGHS3_Hill Farm_1"
"42","Initial","Hill Farm","AGHS3",2,0.54,"AGHS3_Hill Farm_2"
"43","Initial","Hill Farm","AGHS3",3,0.52,"AGHS3_Hill Farm_3"
"44","Initial","Hill Farm","AGHS3",4,0.6,"AGHS3_Hill Farm_4"
"45","Initial","Hill Farm","AGHS4",1,0.55,"AGHS4_Hill Farm_1"
"46","Initial","Hill Farm","AGHS4",2,0.51,"AGHS4_Hill Farm_2"
"47","Initial","Hill Farm","AGHS4",3,0.57,"AGHS4_Hill Farm_3"
"48","Initial","Hill Farm","AGHS4",4,0.59,"AGHS4_Hill Farm_4"
"49","First","LA Tech","AGH2",1,0.86,"AGH2_LA Tech_1"
"50","First","LA Tech","AGH2",2,0.59,"AGH2_LA Tech_2"
"51","First","LA Tech","AGH2",3,0.77,"AGH2_LA Tech_3"
"52","First","LA Tech","AGH2",4,0.58,"AGH2_LA Tech_4"
"53","First","LA Tech","AGH25",1,0.67,"AGH25_LA Tech_1"
"54","First","LA Tech","AGH25",2,0.53,"AGH25_LA Tech_2"
"55","First","LA Tech","AGH25",3,0.71,"AGH25_LA Tech_3"
"56","First","LA Tech","AGH25",4,0.77,"AGH25_LA Tech_4"
