Plot,Tree Number,Species,DBH,Height
1,1,Sweetgum,5.7,24.4
1,2,Sweetgum,5.1,25.1
1,3,Sweetgum,5.3,29.7
1,4,Sweetgum,5.9,30.4
1,5,Sweetgum,4.9,28.4
1,6,Sweetgum,5.5,29
1,7,Sweetgum,5.6,28.4
1,8,Sweetgum,6.4,29
1,9,Sweetgum,5.9,29
1,10,Sweetgum,6.5,29
1,11,Sweetgum,5.9,26.7
1,12,Sweetgum,2.8,17.8
1,13,Sweetgum,4.3,26.7
1,14,Sweetgum,3.5,20.5
1,15,Sweetgum,5.9,28.4
1,16,Sweetgum,3.9,23.8
1,17,Sweetgum,4.1,24.1
1,18,Sweetgum,4.8,27.7
1,19,Sweetgum,4.9,29.4
1,20,Sweetgum,5.1,31.4
1,21,Sweetgum,4.5,29.7
1,22,Sweetgum,4.3,28.4
1,23,Sweetgum,3.9,30
1,24,Sweetgum,4.8,30
1,25,Sweetgum,5.1,30
2,1,Sweetgum,4.4,30
2,2,Sweetgum,4.1,27.7
2,3,Sweetgum,5.2,29
2,4,Sweetgum,5.5,28.4
2,5,Sweetgum,5.4,29
2,6,Sweetgum,4.7,31
2,7,Sweetgum,4.8,30
2,8,Sweetgum,4.3,31
2,9,Sweetgum,5.2,32.3
2,10,Sweetgum,4.9,31.4
2,11,Sweetgum,5.5,33
2,12,Sweetgum,5.3,32.3
2,13,Sweetgum,6,31.4
2,14,Sweetgum,4.2,31.7
2,15,Sweetgum,4.8,27.4
2,16,Sweetgum,4.4,29
2,17,Sweetgum,4.3,27.1
2,18,Sweetgum,4.3,25.7
2,19,Sweetgum,4.6,29
2,20,Sweetgum,4.5,31.7
2,21,Sweetgum,3.9,28.7
2,22,Sweetgum,4.1,30.4
2,23,Sweetgum,4.9,32.7
2,24,Sweetgum,4.1,32.3
2,25,Sweetgum,5.1,34.7
3,1,Sweetgum,4.7,36.3
3,2,Sweetgum,4.5,34
3,3,Sweetgum,5,37.3
3,4,Sweetgum,4.7,34
3,5,Sweetgum,4.9,35.3
3,6,Sweetgum,5,33.3
3,7,Sweetgum,6.2,33.3
3,8,Sweetgum,5.7,33
3,9,Sweetgum,4.8,34.7
3,10,Sweetgum,5.2,37
3,11,Sweetgum,5,39.6
3,12,Sweetgum,5.3,39.6
3,13,Sweetgum,5.4,36.3
3,14,Sweetgum,5.6,36.3
3,15,Sweetgum,5.5,34.3
3,16,Sweetgum,5.6,34.7
3,17,Sweetgum,4.1,28.1
3,18,Sweetgum,5.3,29.7
3,19,Sweetgum,4.2,30.4
3,20,Sweetgum,4.5,32.3
3,21,Sweetgum,3.4,28.1
3,22,Sweetgum,5.5,33
3,23,Sweetgum,4.5,29.7
3,24,Sweetgum,5.6,34
3,25,Sweetgum,5,34.7
4,1,Sweetgum,4.9,35.6
4,2,Sweetgum,5.3,36
4,3,Sweetgum,4.7,36
4,4,Sweetgum,4.8,38
4,5,Sweetgum,4.7,39.6
4,6,Sweetgum,4.9,39.6
4,7,Sweetgum,5.7,38.3
4,8,Sweetgum,4.7,39.6
4,9,Sweetgum,6.3,32.7
4,10,Sweetgum,5.5,34.3
4,11,Sweetgum,4.5,34.3
4,12,Sweetgum,5.5,38.3
4,13,Sweetgum,5.3,38.3
4,14,Sweetgum,5.1,38.3
4,15,Sweetgum,5.9,39.6
4,16,Sweetgum,5.5,39.9
4,17,Sweetgum,5.5,40.3
4,18,Sweetgum,6.5,38
4,19,Sweetgum,3.1,21.8
4,20,Sweetgum,5.5,30.4
4,21,Sweetgum,5.5,33.7
4,22,Sweetgum,4.9,31.7
4,23,Sweetgum,5.7,30.4
4,24,Sweetgum,5.5,33
4,25,Sweetgum,3.1,22
