Year,Quarter,Time,Type,Price
2004,Q1,2004 Q1,Pine Sawtimber,37.55
2004,Q2,2004 Q2,Pine Sawtimber,35.35
2004,Q3,2004 Q3,Pine Sawtimber,39.46
2004,Q4,2004 Q4,Pine Sawtimber,36.77
2005,Q1,2005 Q1,Pine Sawtimber,40.73
2005,Q2,2005 Q2,Pine Sawtimber,37.47
2005,Q3,2005 Q3,Pine Sawtimber,37.65
2005,Q4,2005 Q4,Pine Sawtimber,38.56
2006,Q1,2006 Q1,Pine Sawtimber,40.35
2006,Q2,2006 Q2,Pine Sawtimber,35.71
2006,Q3,2006 Q3,Pine Sawtimber,38.59
2006,Q4,2006 Q4,Pine Sawtimber,37.63
2007,Q1,2007 Q1,Pine Sawtimber,42.46
2007,Q2,2007 Q2,Pine Sawtimber,41.33
2007,Q3,2007 Q3,Pine Sawtimber,42.12
2007,Q4,2007 Q4,Pine Sawtimber,41.79
2008,Q1,2008 Q1,Pine Sawtimber,39.11
2008,Q2,2008 Q2,Pine Sawtimber,34.64
2008,Q3,2008 Q3,Pine Sawtimber,29.5
2008,Q4,2008 Q4,Pine Sawtimber,29.53
2009,Q1,2009 Q1,Pine Sawtimber,30.71
2009,Q2,2009 Q2,Pine Sawtimber,28.87
2009,Q3,2009 Q3,Pine Sawtimber,27.93
2009,Q4,2009 Q4,Pine Sawtimber,31.1
2010,Q1,2010 Q1,Pine Sawtimber,31.11
2010,Q2,2010 Q2,Pine Sawtimber,30.08
2010,Q3,2010 Q3,Pine Sawtimber,33.67
2010,Q4,2010 Q4,Pine Sawtimber,28.18
2011,Q1,2011 Q1,Pine Sawtimber,30.24
2011,Q2,2011 Q2,Pine Sawtimber,25.39
2011,Q3,2011 Q3,Pine Sawtimber,22.43
2011,Q4,2011 Q4,Pine Sawtimber,25.81
2012,Q1,2012 Q1,Pine Sawtimber,27.6
2012,Q2,2012 Q2,Pine Sawtimber,25.65
2012,Q3,2012 Q3,Pine Sawtimber,25.36
2012,Q4,2012 Q4,Pine Sawtimber,25.99
2013,Q1,2013 Q1,Pine Sawtimber,27.77
2013,Q2,2013 Q2,Pine Sawtimber,27.23
2013,Q3,2013 Q3,Pine Sawtimber,25.03
2013,Q4,2013 Q4,Pine Sawtimber,26.22
2014,Q1,2014 Q1,Pine Sawtimber,29.81
2014,Q2,2014 Q2,Pine Sawtimber,26.84
