Year,ID,Location,Block,Border,Row,Tree,Family,Genotype,GLD,DBH,Height,Crown_height,Survival
Year_0,10101,LA_Tech,1,1,1,1,AGHS3,1,4.76,NA,0.49,NA,Alive
Year_0,10102,LA_Tech,1,1,1,2,AGHS3,1,4.88,NA,0.596,NA,Alive
Year_0,10103,LA_Tech,1,1,1,3,AGHS3,1,4.71,NA,0.536,NA,Alive
Year_0,10104,LA_Tech,1,1,1,4,AGHS3,1,4.65,NA,0.55,NA,Alive
Year_0,10105,LA_Tech,1,1,1,5,AGHS3,1,4.69,NA,0.483,NA,Alive
Year_0,10106,LA_Tech,1,1,1,6,AGHS4,2,4.96,NA,0.615,NA,Alive
Year_0,10107,LA_Tech,1,1,1,7,AGHS4,2,8.75,NA,0.546,NA,Alive
Year_0,10108,LA_Tech,1,1,1,8,AGHS4,2,4.92,NA,0.529,NA,Alive
Year_0,10109,LA_Tech,1,1,1,9,AGHS4,2,5.2,NA,0.605,NA,Alive
Year_0,10110,LA_Tech,1,1,1,10,AGHS4,2,7.79,NA,0.614,NA,Alive
Year_0,10111,LA_Tech,1,1,1,11,AGH2,3,5.42,NA,0.568,NA,Alive
Year_0,10112,LA_Tech,1,1,1,12,AGH2,3,4.13,NA,0.465,NA,Alive
Year_0,10113,LA_Tech,1,1,1,13,AGH2,3,4.27,NA,0.604,NA,Alive
Year_0,10114,LA_Tech,1,1,1,14,AGH2,3,6.83,NA,0.53,NA,Alive
Year_0,10115,LA_Tech,1,1,1,15,AGH2,3,6.73,NA,0.515,NA,Alive
Year_0,10116,LA_Tech,1,1,1,16,AGH25,4,4.12,NA,0.418,NA,Alive
Year_0,10117,LA_Tech,1,1,1,17,AGH25,4,4.37,NA,0.519,NA,Alive
Year_0,10118,LA_Tech,1,1,1,18,AGH25,4,5.52,NA,0.414,NA,Alive
Year_0,10119,LA_Tech,1,1,1,19,AGH25,4,5.19,NA,0.467,NA,Alive
Year_0,10120,LA_Tech,1,1,1,20,AGH25,4,5.36,NA,0.377,NA,Alive
Year_0,10121,LA_Tech,1,1,1,21,AGHS2,5,4.48,NA,0.443,NA,Alive
Year_0,10122,LA_Tech,1,1,1,22,AGHS2,5,5.29,NA,0.414,NA,Alive
Year_0,10123,LA_Tech,1,1,1,23,AGHS2,5,3.76,NA,0.45,NA,Alive
Year_0,10124,LA_Tech,1,1,1,24,AGHS2,5,4.92,NA,0.436,NA,Alive
Year_0,10125,LA_Tech,1,1,1,25,AGHS2,5,3.68,NA,0.447,NA,Alive
Year_0,10126,LA_Tech,1,1,1,26,AGHS1,6,4.87,NA,0.492,NA,Alive
Year_0,10127,LA_Tech,1,1,1,27,AGHS1,6,3.8,NA,0.491,NA,Alive
Year_0,10128,LA_Tech,1,1,1,28,AGHS1,6,5.13,NA,0.514,NA,Alive
Year_0,10129,LA_Tech,1,1,1,29,AGHS1,6,5.88,NA,0.538,NA,Alive
Year_0,10130,LA_Tech,1,1,1,30,AGHS1,6,4.37,NA,0.546,NA,Alive
Year_0,10201,LA_Tech,1,1,2,1,AGHS3,1,7.05,NA,0.499,NA,Alive
Year_0,10202,LA_Tech,1,0,2,2,AGHS3,1,4.68,NA,0.508,NA,Alive
Year_0,10203,LA_Tech,1,0,2,3,AGHS3,1,5.86,NA,0.612,NA,Alive
Year_0,10204,LA_Tech,1,0,2,4,AGHS3,1,5.89,NA,0.612,NA,Alive
Year_0,10205,LA_Tech,1,1,2,5,AGHS3,1,3.36,NA,0.508,NA,Alive
Year_0,10206,LA_Tech,1,1,2,6,AGHS4,2,5.11,NA,0.63,NA,Alive
Year_0,10207,LA_Tech,1,0,2,7,AGHS4,2,4.86,NA,0.572,NA,Alive
Year_0,10208,LA_Tech,1,0,2,8,AGHS4,2,5.36,NA,0.486,NA,Alive
Year_0,10209,LA_Tech,1,0,2,9,AGHS4,2,5.46,NA,0.575,NA,Alive
Year_0,10210,LA_Tech,1,1,2,10,AGHS4,2,5.42,NA,0.564,NA,Alive
Year_0,10211,LA_Tech,1,1,2,11,AGH2,3,6.07,NA,0.567,NA,Alive
Year_0,10212,LA_Tech,1,0,2,12,AGH2,3,4.25,NA,0.511,NA,Alive
Year_0,10213,LA_Tech,1,0,2,13,AGH2,3,5.81,NA,0.599,NA,Alive
Year_0,10214,LA_Tech,1,0,2,14,AGH2,3,3.04,NA,0.411,NA,Alive
Year_0,10215,LA_Tech,1,1,2,15,AGH2,3,5.63,NA,0.45,NA,Alive
Year_0,10216,LA_Tech,1,1,2,16,AGH25,4,7.16,NA,0.428,NA,Alive
Year_0,10217,LA_Tech,1,0,2,17,AGH25,4,4.63,NA,0.465,NA,Alive
Year_0,10218,LA_Tech,1,0,2,18,AGH25,4,4.74,NA,0.493,NA,Alive
Year_0,10219,LA_Tech,1,0,2,19,AGH25,4,5.65,NA,0.474,NA,Alive
Year_0,10220,LA_Tech,1,1,2,20,AGH25,4,3.99,NA,0.322,NA,Alive
Year_0,10221,LA_Tech,1,1,2,21,AGHS2,5,3.99,NA,0.485,NA,Alive
Year_0,10222,LA_Tech,1,0,2,22,AGHS2,5,4.24,NA,0.5,NA,Alive
Year_0,10223,LA_Tech,1,0,2,23,AGHS2,5,5.92,NA,0.484,NA,Alive
Year_0,10224,LA_Tech,1,0,2,24,AGHS2,5,3.6,NA,0.416,NA,Alive
Year_0,10225,LA_Tech,1,1,2,25,AGHS2,5,2.63,NA,0.371,NA,Alive
Year_0,10226,LA_Tech,1,1,2,26,AGHS1,6,6.54,NA,0.589,NA,Alive
Year_0,10227,LA_Tech,1,0,2,27,AGHS1,6,5.24,NA,0.621,NA,Alive
Year_0,10228,LA_Tech,1,0,2,28,AGHS1,6,7.59,NA,0.52,NA,Alive
Year_0,10229,LA_Tech,1,0,2,29,AGHS1,6,8.08,NA,0.515,NA,Alive
Year_0,10230,LA_Tech,1,1,2,30,AGHS1,6,4.33,NA,0.568,NA,Alive
Year_0,10301,LA_Tech,1,1,3,1,AGHS3,1,4.48,NA,0.519,NA,Alive
Year_0,10302,LA_Tech,1,0,3,2,AGHS3,1,3.12,NA,0.535,NA,Alive
Year_0,10303,LA_Tech,1,0,3,3,AGHS3,1,4.61,NA,0.546,NA,Alive
Year_0,10304,LA_Tech,1,0,3,4,AGHS3,1,4.21,NA,0.545,NA,Alive
Year_0,10305,LA_Tech,1,1,3,5,AGHS3,1,4.74,NA,0.525,NA,Alive
Year_0,10306,LA_Tech,1,1,3,6,AGHS4,2,6.04,NA,0.638,NA,Alive
Year_0,10307,LA_Tech,1,0,3,7,AGHS4,2,5.5,NA,0.533,NA,Alive
Year_0,10308,LA_Tech,1,0,3,8,AGHS4,2,6.92,NA,0.641,NA,Alive
Year_0,10309,LA_Tech,1,0,3,9,AGHS4,2,7.32,NA,0.676,NA,Alive
Year_0,10310,LA_Tech,1,1,3,10,AGHS4,2,4.68,NA,0.646,NA,Alive
Year_0,10311,LA_Tech,1,1,3,11,AGH2,3,2.77,NA,0.408,NA,Alive
Year_0,10312,LA_Tech,1,0,3,12,AGH2,3,3.15,NA,0.308,NA,Alive
Year_0,10313,LA_Tech,1,0,3,13,AGH2,3,4.47,NA,0.413,NA,Alive
Year_0,10314,LA_Tech,1,0,3,14,AGH2,3,7.74,NA,0.503,NA,Alive
Year_0,10315,LA_Tech,1,1,3,15,AGH2,3,3.69,NA,0.518,NA,Alive
Year_0,10316,LA_Tech,1,1,3,16,AGH25,4,4.29,NA,0.316,NA,Alive
Year_0,10317,LA_Tech,1,0,3,17,AGH25,4,5.73,NA,0.485,NA,Alive
Year_0,10318,LA_Tech,1,0,3,18,AGH25,4,5.29,NA,0.394,NA,Alive
Year_0,10319,LA_Tech,1,0,3,19,AGH25,4,5.29,NA,0.381,NA,Alive
Year_0,10320,LA_Tech,1,1,3,20,AGH25,4,4.88,NA,0.363,NA,Alive
Year_0,10321,LA_Tech,1,1,3,21,AGHS2,5,3.8,NA,0.447,NA,Alive
Year_0,10322,LA_Tech,1,0,3,22,AGHS2,5,4.97,NA,0.481,NA,Alive
Year_0,10323,LA_Tech,1,0,3,23,AGHS2,5,4.26,NA,0.459,NA,Alive
