Plot,Lat,Lon,State,Region,Elevation,Slope,MAP,T_min,MAT,T_max,rich,Shannon,litter,bare_rock,BD0cm,BD100cm,BD15cm,Bd200cm,BD30cm,BD5cm,BD60cm,Clay0cm,Clay100cm,Clay15cm,Clay200cm,Clay30cm,Clay5cm,Clay60cm,N0cm,N100cm,N15cm,N200cm,N30cm,N5cm,N60cm,pH0cm,pH100cm,pH15cm,pH200cm,pH30cm,pH5cm,pH60cm,Sand0cm,Sand100cm,Sand15cm,Sand200cm,Sand30cm,Sand5cm,Sand60cm,SOC0cm,SOC100cm,SOC15cm,SOC200cm,SOC30cm,SOC5cm,SOC60cm
bacher_creek_1_ctrl_one_yr,44.836,-117.424,OR,Western Cordillera,910.43,16.16,503.58,1.46,8.81,16.16,10,1.858863301,43,13.8,1123,1403,1224,1399,1208,1190,1312,12,11,17,12,18,14,15,17,8,11,9,10,14,8,69,76,69,77,71,69,75,57,63,51,63,50,57,54,29,4,9,3,7,13,5
bacher_creek_2_ctrl_one_yr,44.836,-117.424,OR,Western Cordillera,910.43,16.16,503.58,1.46,8.81,16.16,7,1.483886305,26.6,22.8,1123,1403,1224,1399,1208,1190,1312,12,11,17,12,18,14,15,17,8,11,9,10,14,8,69,76,69,77,71,69,75,57,63,51,63,50,57,54,29,4,9,3,7,13,5
bacher_creek_3_ctrl_one_yr,44.836,-117.424,OR,Western Cordillera,910.43,16.16,503.58,1.46,8.81,16.16,7,1.722514428,19,17.6,1123,1403,1224,1399,1208,1190,1312,12,11,17,12,18,14,15,17,8,11,9,10,14,8,69,76,69,77,71,69,75,57,63,51,63,50,57,54,29,4,9,3,7,13,5
Berry_1_ctrl_one_yr,44.825272,-107.175057,WY,West and South Central Semiarid Prairies,1277.25,11.9,444.15,-0.27,7.26,14.79,15,2.040680504,20,1,1178,1398,1299,1407,1343,1183,1359,22,22,28,20,30,22,28,30,9,16,9,12,20,10,67,77,69,78,71,67,77,38,51,38,52,37,40,41,67,12,20,15,14,30,11
Berry_2_ctrl_one_yr,44.825272,-107.175057,WY,West and South Central Semiarid Prairies,1277.25,11.9,444.15,-0.27,7.26,14.79,12,2.233418967,20,0,1178,1398,1299,1407,1343,1183,1359,22,22,28,20,30,22,28,30,9,16,9,12,20,10,67,77,69,78,71,67,77,38,51,38,52,37,40,41,67,12,20,15,14,30,11
Berry_3_ctrl_one_yr,44.825272,-107.175057,WY,West and South Central Semiarid Prairies,1277.25,11.9,444.15,-0.27,7.26,14.79,11,1.852862031,20,1,1178,1398,1299,1407,1343,1183,1359,22,22,28,20,30,22,28,30,9,16,9,12,20,10,67,77,69,78,71,67,77,38,51,38,52,37,40,41,67,12,20,15,14,30,11
Berry_4_ctrl_one_yr,44.825272,-107.175057,WY,West and South Central Semiarid Prairies,1277.25,11.9,444.15,-0.27,7.26,14.79,15,2.185549622,20,0,1178,1398,1299,1407,1343,1183,1359,22,22,28,20,30,22,28,30,9,16,9,12,20,10,67,77,69,78,71,67,77,38,51,38,52,37,40,41,67,12,20,15,14,30,11
big_flat_1_ctrl_one_yr,44.047,-116.483,ID,Cold Deserts,999,4.72,497.64,2.66,9.47,16.29,4,0.78998856,11,6.6,1087,1387,1214,1385,1225,1131,1297,29,28,44,23,45,29,45,16,9,12,9,11,16,10,67,72,67,73,68,67,70,31,52,26,57,28,31,30,36,5,13,5,10,19,6
big_flat_2_ctrl_one_yr,44.047,-116.483,ID,Cold Deserts,999,4.72,497.64,2.66,9.47,16.29,4,0.970282226,17,0.6,1087,1387,1214,1385,1225,1131,1297,29,28,44,23,45,29,45,16,9,12,9,11,16,10,67,72,67,73,68,67,70,31,52,26,57,28,31,30,36,5,13,5,10,19,6
big_flat_3_ctrl_one_yr,44.047,-116.483,ID,Cold Deserts,999,4.72,497.64,2.66,9.47,16.29,5,0.998082209,13,4.4,1087,1387,1214,1385,1225,1131,1297,29,28,44,23,45,29,45,16,9,12,9,11,16,10,67,72,67,73,68,67,70,31,52,26,57,28,31,30,36,5,13,5,10,19,6
Bison_range_1_ctrl_one_yr,47.351,-114.176,MT,Western Cordillera,834.01,2.97,409.59,1.88,8.03,14.18,26,1.832835556,52,34.43,1030,1451,1293,1421,1343,1095,1418,36,39,37,38,42,35,42,25,6,18,6,10,22,7,72,82,74,83,77,72,81,21,24,17,26,16,21,18,72,6,17,6,11,20,8
Bison_range_2_ctrl_one_yr,47.351,-114.176,MT,Western Cordillera,834.01,2.97,409.59,1.88,8.03,14.18,24,1.701679823,58.71,30.57,1030,1451,1293,1421,1343,1095,1418,36,39,37,38,42,35,42,25,6,18,6,10,22,7,72,82,74,83,77,72,81,21,24,17,26,16,21,18,72,6,17,6,11,20,8
Bison_range_3_ctrl_one_yr,47.351,-114.176,MT,Western Cordillera,834.01,2.97,409.59,1.88,8.03,14.18,26,1.927311052,80.43,9.14,1030,1451,1293,1421,1343,1095,1418,36,39,37,38,42,35,42,25,6,18,6,10,22,7,72,82,74,83,77,72,81,21,24,17,26,16,21,18,72,6,17,6,11,20,8
